id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
1bp2IO61zbQrbWNmKKxg3f,0.446,0.16,165.158,0.0525,0.394,3.78e-06,4,0.424,5,264504,-9.618,0.794,1,audio_features,spotify:track:1bp2IO61zbQrbWNmKKxg3f
6yv3MNMcmRaTJF0vvHCMWx,0.842,0.544,107.969,0.0342,0.00111,8.58e-05,4,0.643,11,282240,-4.633,0.547,1,audio_features,spotify:track:6yv3MNMcmRaTJF0vvHCMWx
1VP0M0sjTsqPqhYS4BojTt,0.14,0.204,119.776,0.0394,0.708,0.644,4,0.503,7,206307,-13.676,0.197,1,audio_features,spotify:track:1VP0M0sjTsqPqhYS4BojTt
73eJaOznFIe94PfDKzrvkO,0.504,0.713,197.065,0.297,0.542,0.051,4,0.475,8,458920,-8.53,0.74,1,audio_features,spotify:track:73eJaOznFIe94PfDKzrvkO
3f0HLUJlE2Rpvg3cSYBV2U,0.627,0.18,95.014,0.0309,0.00363,0.878,4,0.614,6,252987,-9.608,0.344,0,audio_features,spotify:track:3f0HLUJlE2Rpvg3cSYBV2U
53uzBMME2GSfpUVtOtiLvA,0.261,0.112,128.551,0.0315,0.689,0.0,3,0.356,2,190093,-14.963,0.279,1,audio_features,spotify:track:53uzBMME2GSfpUVtOtiLvA
7ieCy9tubdq5vsDm5MY2d7,0.161,0.111,145.987,0.0336,0.928,0.0,4,0.585,7,161800,-13.854,0.425,1,audio_features,spotify:track:7ieCy9tubdq5vsDm5MY2d7
7a7y3aPXd5STF9BvCG6slI,0.606,0.0564,121.641,0.0292,0.123,1.52e-05,3,0.653,11,242827,-9.577,0.882,1,audio_features,spotify:track:7a7y3aPXd5STF9BvCG6slI
0I2qYEvVg2ETIr7GNKXNf2,0.236,0.125,92.301,0.0527,0.906,0.113,4,0.826,8,173827,-12.491,0.89,0,audio_features,spotify:track:0I2qYEvVg2ETIr7GNKXNf2
44k6yxrPqJVUGtL8efN4nL,0.264,0.0858,125.305,0.0322,0.916,0.651,4,0.592,7,199547,-15.383,0.328,1,audio_features,spotify:track:44k6yxrPqJVUGtL8efN4nL
